DistVDC	No.
Dang-GANGAPRASPUR	130.0
Dang-GOBARDIYA	138.0
Dang-GOLTAKURI	79.0
Dang-HALWAR	151.0
Dang-HANSIPUR	98.0
Dang-HAPUR	177.0
Dang-HEKULI	121.0
Dang-KABHRE	109.0
Dang-KOILABAS	22.0
Dang-LALMATIYA	179.0
Dang-LAXMIPUR	130.0
Dang-LOHARPANI	83.0
Dang-MANPUR	199.0
Dang-NARAYANPUR	171.0
Dang-PANCHAKULE	115.0
Dang-PAWANNAGAR	150.0
Dang-PHULBARI	90.0
Dang-PURANDHARA	246.0
Dang-RAJPUR	85.0
Dang-RAMPUR	190.0
Dang-SAIDHA	117.0
Dang-SATBARIYA	169.0
Dang-SAUDIYAR	164.0
Dang-SHANTINAGAR	139.0
Dang-SHREEGAUN	103.0
Dang-SISAHANIYA	163.0
Dang-SONPUR	155.0
Dang-SYUJA	72.0
Dang-TARIGAUN	159.0
Dang-TRIBHUWAN NAGAR MUNICIPALITY	6,000.0
Dang-TULSIPUR MUNICIPALITY	4,041.0
Dang-URAHARI	164.0
Darchula-BHAGABATI	49.0
Darchula-BOHARIGAU	65.0
Darchula-BRAMHADEV	19.0
Darchula-BYASH	12.0
Darchula-CHHAPARI	36.0
Darchula-DADAKOT	35.0
Darchula-DATTU	38.0
Darchula-DETHALA	41.0
Darchula-DHAP	59.0
Darchula-DHARI	41.0
Darchula-DHAULAKOT	34.0
Darchula-DHULIGADA	65.0
Darchula-EYARKOT	26.0
Darchula-GHUSA	16.0
Darchula-GOKULESWOR	48.0
Darchula-GULJAR	45.0
Darchula-GWANI	67.0
Darchula-HIKILA	32.0
Darchula-HUNAINATH	27.0
Darchula-HUTI	38.0
Darchula-KANTE	37.0
Darchula-KHALANGA	114.0
Darchula-KHANDESWORI	34.0
Darchula-KHAR	60.0
Darchula-KHARKADA	50.0
Darchula-LALI	54.0
Darchula-LATINATH	56.0
Darchula-MALIKARJUN	37.0
Darchula-PIPALCHAURI	32.0
Darchula-RANISIKHAR	41.0
Darchula-RAPLA	24.0
Darchula-RITHACHAUPATA	78.0
Darchula-SANKARPUR	50.0
Darchula-SERI	35.0
Darchula-SHARMAULI	86.0
Darchula-SIKHAR	40.0
Darchula-SIPTI	59.0
Darchula-SITAULA	24.0
Darchula-SUNSERA	42.0
Darchula-TAPOBAN	35.0
Darchula-UKU	61.0
Dhading-AGINCHOK	53.0
Dhading-BAIRENI	163.0
Dhading-BASERI	74.0
Dhading-BENIGHAT	138.0
Dhading-BHUMESTHAN	156.0
Dhading-BUDHATHUM	48.0
Dhading-CHAINPUR	124.0
Dhading-CHHATRE DYAURALI	158.0
Dhading-DARKHA	112.0
Dhading-DHOLA	79.0
Dhading-DHUSSA	91.0
Dhading-DHUWAKOT	94.0
Dhading-GAJURI	125.0
Dhading-GOGANPANI	77.0
Dhading-GUMDI	92.0
Dhading-JEEWANPUR	171.0
Dhading-JHARLANG	49.0
Dhading-JOGIMARA	111.0
Dhading-JYAMRUNG	130.0
Dhading-KALLERI	155.0
Dhading-KATUNJE	109.0
Dhading-KEWALPUR	95.0
Dhading-KHALTE	99.0
Dhading-KHARI	86.0
