DistVDC	No.
Kaski-CHAPAKOT	49.0
Kaski-DANGSING	71.0
Kaski-DEURALI	62.0
Kaski-DHAMPUS	58.0
Kaski-DHIKURE POKHARI	166.0
Kaski-DHITAL	58.0
Kaski-GHACHOK	46.0
Kaski-GHANDRUK	83.0
Kaski-HANSAPUR	77.0
Kaski-HEMAJA	184.0
Kaski-KAHUN	42.0
Kaski-KALIKA	99.0
Kaski-KASKIKOT	104.0
Kaski-KRITINACHNE CHAUR	116.0
Kaski-LAHACHOK	70.0
Kaski-LAMACHAUR	73.0
Kaski-LEKHANATH MUNICIPALITY	2,946.0
Kaski-LUMLE	92.0
Kaski-LWANGGHALE	71.0
Kaski-MACHHAPUCHCHHRE	46.0
Kaski-MAJHTHANA	73.0
Kaski-MAUJA	43.0
Kaski-MIJUREDADA	83.0
Kaski-NAMARJUNG	17.0
Kaski-NIRMAL POKHARI	83.0
Kaski-PARCHE	58.0
Kaski-POKHARA SUB METROPOLITAN CITY	2,800.0
Kaski-PUMDIBHUMDI	149.0
Kaski-PURANCHAUR	64.0
Kaski-REEVAN	31.0
Kaski-RUPAKOT	69.0
Kaski-SAIMARANG	35.0
Kaski-SALYAN	66.0
Kaski-SARANGKOT	131.0
Kaski-SARDIKHOLA	58.0
Kaski-SIDDHA	88.0
Kaski-SILDUJURE	59.0
Kaski-THUMAKODADA	85.0
Kaski-THUMKI	72.0
Kaski-VALAM	56.0
Kathmandu-AALAPOT	45.0
Kathmandu-BAADBHANJYANG	69.0
Kathmandu-BAJRAYOGINI (SANKHU)	65.0
Kathmandu-BALAMBU	84.0
Kathmandu-BALUWA	47.0
Kathmandu-BHADRABAS	39.0
Kathmandu-BHIMDHUNGA	48.0
Kathmandu-BUDANILKANTHA	163.0
Kathmandu-CHALNAKHEL	24.0
Kathmandu-CHAPALI BHADRAKALI	67.0
Kathmandu-CHHAIMALE	64.0
Kathmandu-CHOUKETARDAHACHOK	43.0
Kathmandu-CHUNIKHEL	63.0
Kathmandu-DAANCHHI	102.0
Kathmandu-DAXINKALI	68.0
Kathmandu-DHAPASI	215.0
Kathmandu-DHARMASTHALI	100.0
Kathmandu-FUTUNG	59.0
Kathmandu-GAGALPHEDI	88.0
Kathmandu-GOKARNESWOR	71.0
Kathmandu-GOLDHUNGA	106.0
Kathmandu-GONGGABU	326.0
Kathmandu-GOTHATAR	140.0
Kathmandu-ICHANGNARAYAN	100.0
Kathmandu-JHORMAHANKAL	59.0
Kathmandu-JITPURPHEDI	86.0
Kathmandu-JORPATI	573.0
Kathmandu-KABHRESTHALI	59.0
Kathmandu-KAPAN	239.0
Kathmandu-KATHMANDU METROPOLITAN CITY	9,542.0
Kathmandu-KHADKABHADRAKALI	97.0
Kathmandu-KIRTIPUR MUNICIPALITY	5,944.0
Kathmandu-LAPSEPHEDI	100.0
Kathmandu-MACHHEGAUN	60.0
Kathmandu-MAHADEVATHAN	105.0
Kathmandu-MAHANKAL	95.0
Kathmandu-MANMAIJU	197.0
Kathmandu-MATATIRTHA	61.0
Kathmandu-MULPANI	86.0
Kathmandu-NAGLEBHARE	95.0
Kathmandu-NAIKAP NAYA BHANJYANG	91.0
Kathmandu-NAIKAP PURANO BHANJYANG	65.0
Kathmandu-NAYAPATI	86.0
Kathmandu-PUKHULACHHI	39.0
Kathmandu-RAMKOT	98.0
Kathmandu-SANGLA	36.0
Kathmandu-SATIKHEL	77.0
Kathmandu-SATUNGAL	58.0
Kathmandu-SEUCHATAR	89.0
Kathmandu-SHESHNARAYAN	42.0
Kathmandu-SITAPAILA	118.0
Kathmandu-SUNDARIJAL	43.0
Kathmandu-SUNTOL	69.0
Kathmandu-TALKUDUDECHOUR	47.0
Kathmandu-THANKOT	89.0
Kathmandu-TINTHANA	92.0
Kathmandu-TOKHA CHANDESWORI	43.0
Kathmandu-TOKHASARSWOTI	40.0
Kavre-ANAIKOT	113.0
Kavre-BALDTHALI	41.0
Kavre-BALTING	36.0
Kavre-BALUWAPATI DEUPUR	95.0
Kavre-BANAKHUCHOR	53.0
Kavre-BANEPA MUNICIPALITY	2,003.0
Kavre-BEKHSIMLEDHARTIGAUN	24.0
Kavre-BHIMKHORI	83.0
Kavre-BHUMLUTAR	49.0
Kavre-BIRTADEURALI	42.0
Kavre-BOLDEFEDICHE	47.0
Kavre-BUDHAKHANI	43.0
Kavre-CHALAL GANESHSTHAN	66.0
Kavre-CHANDENI MANDAN	72.0
Kavre-CHOUBAS	36.0
Kavre-CHYAMRANG BESI	30.0
Kavre-CHYASING KHARKA	57.0
Kavre-DANDAGAUN	36.0
Kavre-DAPCHA CHATRAIBHANJHA	57.0
Kavre-DARAUNE POKHARI	59.0
Kavre-DEUVUMI BALUWA	112.0
Kavre-DEVITAR	33.0
Kavre-DHULIKHEL MUNICIPALITY	1,359.0
Kavre-DHUNKHARKA	73.0
Kavre-DHUSENI SIWALAYA	36.0
Kavre-DOLALGHAT	35.0
Kavre-FALATE BHUMLU	31.0
Kavre-FALEMETAR	53.0
Kavre-FOKSINGTAR	22.0
Kavre-GAIRI BISOUNADEUPUR	110.0
Kavre-GHARTICHHAP	35.0
Kavre-GOKULE	59.0
Kavre-GOTHPANI	51.0
Kavre-HOKSE BAZAR	86.0
Kavre-JAISITHOK MANDAN	54.0
Kavre-JYAMDI MANDAN	108.0
Kavre-KALATIBHUMI DANDA	62.0
Kavre-KANPUR KALAPANI	82.0
Kavre-KARTIKE DEURALI	52.0
Kavre-KATUNJE BESI	30.0
Kavre-KAVRE NITYACHANDESWOR	89.0
Kavre-KHAHAREPANGU	42.0
Kavre-KHANALTHOK	101.0
Kavre-KHARELTHOK	75.0
Kavre-KHARPACHOK	28.0
Kavre-KOLATI BHUMLU	30.0
Kavre-KOSHIDEKHA	52.0
Kavre-KURUWASCHAPAKHORI	52.0
Kavre-KUSHADEVI	136.0
Kavre-MACHCHHE GAUN	106.0
Kavre-MADANKUNDARI	38.0
Kavre-MAHADEVSTHAN MANDAN	162.0
Kavre-MAHADEVTAR	16.0
Kavre-MAHANKAL CHAUR	67.0
Kavre-MAHENDRA JYOTI	55.0
Kavre-MAJHIFEDA	61.0
Kavre-MANGALTAR	63.0
Kavre-MATHURAPATI FULBARI	72.0
Kavre-METHINKOT	87.0
Kavre-MILCHE	36.0
Kavre-NAGREGAGARCHE	42.0
Kavre-NALA (UGRACHANDI)	96.0
Kavre-NASIKASTHANSANGA	79.0
Kavre-NAYAGAUNDEUPUR	63.0
Kavre-PANAUTI MUNICIPALITY	3,716.0
Kavre-PANCHKHAL	221.0
Kavre-PATALEKHET	67.0
Kavre-POKHARI NARAYANSTHAN	66.0
Kavre-POKHARICHAURI	56.0
Kavre-PURANO GAUNDAPCHA	42.0
Kavre-RAVIOPI	77.0
Kavre-RYALEBHIR	98.0
Kavre-SALDHARA	45.0
Kavre-SALLEBHUMLU	42.0
Kavre-SALMECHAKALA (TALDHUNGA)	25.0
Kavre-SANKHUPATICHOUR	59.0
Kavre-SANOWANGTHALI	33.0
Kavre-SAPING	66.0
Kavre-SARADA BATASE	32.0
Kavre-SARAMTHALI	24.0
Kavre-SARASYUN KHARK	89.0
Kavre-SATHIGHAR BHAGAWATI	58.0
Kavre-SIKHARAMBOTE	44.0
Kavre-SIMAL CHOURSYAMPATI	73.0
Kavre-SIMTHALI	36.0
Kavre-SIPALICHILAUNE	46.0
Kavre-SISAKHANI	29.0
Kavre-THULOPARSEL	43.0
Kavre-TUKUCHANALA	82.0
Kavre-UGRATARA JANAGAL	78.0
Khotang-AINSELUKHARKA	60.0
Khotang-ARKHAULE	61.0
Khotang-BADAHARE	16.0
Khotang-BADAKADIYALE	48.0
Khotang-BAHUNIDANDA	48.0
Khotang-BAKACHOL	63.0
Khotang-BAKSILA	62.0
Khotang-BAMRANG	59.0
Khotang-BARAHA POKHARI	63.0
Khotang-BASPANI	22.0
Khotang-BATASE	68.0
Khotang-BIJAYAKHARKA	55.0
Khotang-BUIPA	97.0
Khotang-CHHITA POKHARI	40.0
Khotang-CHHORAMBU	33.0
Khotang-CHIPRING	7.0
Khotang-CHISAPANI	72.0
Khotang-CHYANDADA	63.0
Khotang-CHYASMITAR	43.0
Khotang-DAMAR KHUSHIVALAYA	46.0
Khotang-DANDAGAUN	61.0
Khotang-DEVISTHAN	36.0
Khotang-DHITUNG	54.0
Khotang-DIKTEL	129.0
Khotang-DIKUWA	38.0
Khotang-DIPLUNG	45.0
Khotang-DORPACHIURIDADA	108.0
Khotang-DUBEKOLDADA	40.0
Khotang-DUMRE DHARAPANI	38.0
Khotang-DURCHHIM	52.0
Khotang-FAKTANG	42.0
Khotang-HAUNCHUR	52.0
Khotang-INDRANI POKHARI	68.0
Khotang-JALAPA	50.0
Khotang-JYAMIRE	29.0
Khotang-KAHULE	37.0
Khotang-KHALLE	58.0
Khotang-KHARMI	67.0
Khotang-KHARPA	33.0
Khotang-KHARTANCHHA	34.0
Khotang-KHIDIMA	41.0
Khotang-KHOTANG BAZAR	43.0
Khotang-KUVINDE	40.0
Khotang-LAFYANG	48.0
Khotang-LAMIDADA	43.0
Khotang-LICHKIRAMCHE	58.0
Khotang-LINKUWA POKHARI	43.0
Khotang-MAGPA	32.0
Khotang-MAHADEVASTHAN	45.0
Khotang-MANGALTAR	41.0
Khotang-MATTIMBIRTA	91.0
Khotang-MAUWABOTE	24.0
Khotang-NERPA	53.0
Khotang-NIRMALIDADA	40.0
Khotang-NUNTHALA	39.0
Khotang-PATHEKA	57.0
Khotang-PAUWASERA	43.0
Khotang-PHEDI	68.0
Khotang-R.MAHESWORI	42.0
Khotang-RAJAPANI	58.0
Khotang-RAKHABANGDEL	59.0
Khotang-RAKHADIPSUNG	21.0
Khotang-RATANCHA MAJHAGAU	42.0
Khotang-RIBDUNG JALESWOR	37.0
Khotang-SA.CHHITA POKHARI	39.0
Khotang-SALLE	31.0
Khotang-SAPTESWOR	51.0
Khotang-SAUNECHAUR	35.0
Khotang-SAWAKATAHARE	55.0
Khotang-SIMPANI	64.0
Khotang-SUNGDEL	41.0
Khotang-SUNTALE	22.0
Khotang-TEMMA	61.0
Khotang-WOPLUKHA	53.0
Khotang-WOPUNG	42.0
Khotang-YAMKHA	64.0
Lalitpur-ASHRANG	25.0
Lalitpur-BADIKHEL	43.0
Lalitpur-BHARDEV	42.0
Lalitpur-BHATTEDANDA	34.0
Lalitpur-BISANKHUNARAYAN	72.0
Lalitpur-BUKHEL	30.0
Lalitpur-BUNGAMATI	86.0
Lalitpur-CHANDANPUR	20.0
Lalitpur-CHAPAGAUN	151.0
Lalitpur-CHHAMPI	88.0
Lalitpur-CHOUGHARE	32.0
Lalitpur-DALCHOKI	27.0
Lalitpur-DEVICHOUR	39.0
Lalitpur-DHAPAKHEL	107.0
Lalitpur-DHUSEL	25.0
Lalitpur-DUKUCHHAP	42.0
Lalitpur-GIMDI	36.0
Lalitpur-GODAMCHAUR	59.0
Lalitpur-GODAWARI	125.0
Lalitpur-GOTIKHEL	42.0
Lalitpur-HARISIDDHI	101.0
Lalitpur-IKUDOL	38.0
Lalitpur-IMADOL	140.0
Lalitpur-JHARUWARASI	65.0
Lalitpur-KALESWOR	23.0
Lalitpur-KHOKANA	72.0
Lalitpur-LALITPUR SUB METROPOLITAN CITY	2,317.0
Lalitpur-LAMATAR	112.0
Lalitpur-LELE	116.0
Lalitpur-LUBHU	80.0
Lalitpur-MALTA	30.0
Lalitpur-MANIKHEL	34.0
Lalitpur-NALLU	33.0
Lalitpur-PYUTAR	22.0
Lalitpur-SAINBU	125.0
Lalitpur-SANKHU	31.0
Lalitpur-SIDDHIPUR	104.0
Lalitpur-SUNAKOTHI	85.0
Lalitpur-THAIBA	74.0
Lalitpur-THECHO	130.0
Lalitpur-THULADURLUNG	25.0
Lalitpur-TIKATHALI	79.0
Lamjung-ARCHALBOT	32.0
Lamjung-BAHUNDANDA	45.0
Lamjung-BAJHAKHET	63.0
Lamjung-BALUNGPANI	50.0
Lamjung-BANGRE	34.0
Lamjung-BANSAR	39.0
Lamjung-BESISHAHAR	187.0
Lamjung-BHALAYAKHARKA	45.0
Lamjung-BHARTE	62.0
Lamjung-BHOJE	51.0
Lamjung-BHORLETAR	69.0
Lamjung-BHOTEOODAR	122.0
Lamjung-BHUJUNG	26.0
Lamjung-BHULBHULE	50.0
Lamjung-BICHAUR	42.0
Lamjung-CHAKRATIRTHA	82.0
Lamjung-CHANDISTHAN	40.0
Lamjung-CHANDRESHWOR	50.0
Lamjung-CHITI	108.0
Lamjung-DHAMILIKUWA	83.0
Lamjung-DHODENI	48.0
Lamjung-DHUSENI	27.0
Lamjung-DUDHPOKHARI	34.0
Lamjung-DURADANDA	45.0
Lamjung-FALENI	34.0
Lamjung-GAUDA	59.0
Lamjung-GAUNSHAHAR	113.0
Lamjung-GHANPOKHARA	68.0
Lamjung-GHERMU	45.0
Lamjung-GILUNNG	30.0
Lamjung-HILETAKSAR	32.0
Lamjung-ILAMPOKHARI	65.0
Lamjung-ISANESHWOR	55.0
Lamjung-JITA	60.0
Lamjung-KARAPU	49.0
Lamjung-KHUDI	73.0
Lamjung-KOLKI	35.0
Lamjung-KUNCHHA	45.0
Lamjung-MALING	22.0
Lamjung-MOHORIYAKOT	43.0
Lamjung-NALMA	34.0
Lamjung-NAUTHAR	42.0
Lamjung-NETA	40.0
Lamjung-PACHOK	53.0
Lamjung-PAREWADADA	58.0
Lamjung-PASAGAUN	36.0
Lamjung-PURANOKOT	37.0
Lamjung-PYARJUNG	28.0
Lamjung-RAMGHA	48.0
Lamjung-SAMIBHANJYANG	34.0
Lamjung-SHREEBHANJYANG	46.0
Lamjung-SIMPANI	65.0
Lamjung-SINDURE	27.0
Lamjung-SUNDAR BAZAR	135.0
Lamjung-SURYAPAL	35.0
Lamjung-TAGHRING	46.0
Lamjung-TANDRANG (TAKSAR)	50.0
Lamjung-TARKU	32.0
Lamjung-TARKUGHAT	59.0
Lamjung-UDIPUR	63.0
Lamjung-UTTARKANYA	22.0
Mahottari-ANAKAR	81.0
Mahottari-AURAHI	98.0
Mahottari-BAGADA	81.0
Mahottari-BAIRGIYA BANCHAURI	75.0
Mahottari-BAIRGIYA LAXMINIYA	40.0
Mahottari-BALAWA	118.0
Mahottari-BANAULI DONAULI	75.0
Mahottari-BANOUTA	71.0
Mahottari-BARDIBAS	114.0
Mahottari-BASABITTI	80.0
Mahottari-BATHANAHA	114.0
Mahottari-BELGACHHI	78.0
Mahottari-BHARATPUR	108.0
Mahottari-BHATAULIYA	59.0
Mahottari-BIJAYALPURA	111.0
Mahottari-BRAMARPURA	103.0
Mahottari-DAMHIMARAYEE	99.0
Mahottari-DHAMAURA	148.0
Mahottari-DHARMAPUR	93.0
Mahottari-DHIRAPUR	87.0
Mahottari-EKADARABELA	82.0
Mahottari-EKARAHIYA	110.0
Mahottari-ETAHARWAKATTI	89.0
Mahottari-FULAHATTAPARIKAULI	74.0
Mahottari-FULAKAHA	105.0
Mahottari-GAIDAHABHELPUR	62.0
Mahottari-GAURIBAS	90.0
Mahottari-GAUSHALA	198.0
Mahottari-GONARPURA	99.0
Mahottari-HALKHORI	59.0
Mahottari-HARIHARPUR HARINAMARI	91.0
Mahottari-HATHILET	94.0
Mahottari-HATISARWA	79.0
Mahottari-JALESHWOR MUNICIPALITY	2,389.0
Mahottari-KHAIRBANNI	77.0
Mahottari-KHAYARMARA	125.0
Mahottari-KHOPI	109.0
Mahottari-KHUTTAPIPARADHI	83.0
Mahottari-KISANNAGAR	114.0
Mahottari-KOLHUWABAGAICHA	58.0
Mahottari-LAXIMINIYA	145.0
Mahottari-LOHARPATTI	100.0
Mahottari-MAHADAIYATAPANPUR	64.0
Mahottari-MAHOTTARI	137.0
Mahottari-MAISTHAN	155.0
Mahottari-MAJHORABISHNUPUR	62.0
Mahottari-MANARA	92.0
Mahottari-MATIHANI	84.0
Mahottari-MEGHANATH GORAHANNA	88.0
Mahottari-NAINHI	106.0
Mahottari-NIGAUL	90.0
Mahottari-PARAUL	90.0
Mahottari-PARSADEWADH	115.0
Mahottari-PARSAPATELI	50.0
Mahottari-PASUPATINAGAR	78.0
Mahottari-PIGOUNA	37.0
Mahottari-PIPRA	95.0
Mahottari-POKHARI BHINDASAMGRAMPUR	82.0
Mahottari-RAGHUNATHPUR	62.0
Mahottari-RAMGOPALPUR	119.0
Mahottari-RAMNAGAR	99.0
Mahottari-RATAULI	95.0
Mahottari-SAHASAULA	75.0
Mahottari-SAHORAWA	77.0
Mahottari-SANDHA	45.0
Mahottari-SARPALLO	112.0
Mahottari-SHAMSI	55.0
Mahottari-SHREEPUR	148.0
Mahottari-SIMARDAHI	57.0
Mahottari-SINGYAHI	96.0
Mahottari-SISAWAKATAIYA	95.0
Mahottari-SONAMA	117.0
Mahottari-SONAMAI	86.0
Mahottari-SONAUL	48.0
Mahottari-SUGAVAWANI	64.0
Mahottari-SUNDARPUR	145.0
Mahottari-VAGAHA	203.0
Makwanpur-AGARA	143.0
Makwanpur-AMBHANJYANG	150.0
Makwanpur-BAJRABARAHI	117.0
Makwanpur-BASAMADI	225.0
Makwanpur-BETINI	46.0
Makwanpur-BHAISE	84.0
Makwanpur-BHARTA PUNDYADEVI	66.0
Makwanpur-BHIMFEDI	96.0
Makwanpur-BUDHICHAUR	37.0
Makwanpur-CHITLANG	117.0
Makwanpur-CHURIYAMAI	221.0
Makwanpur-DAMAN	134.0
Makwanpur-DANDAKHARKA	56.0
Makwanpur-DHIMAL	102.0
Makwanpur-FAKHEL	74.0
Makwanpur-FAPARBARI	181.0
Makwanpur-GOGANE	76.0
Makwanpur-HANDIKHOLA	279.0
Makwanpur-HATIYA	186.0
Makwanpur-HETAUDA MUNICIPALITY	4,587.0
Makwanpur-HURNAMADI	118.0
Makwanpur-IPAPANCHAKANYA	38.0
Makwanpur-KALIKATAR	43.0
Makwanpur-KANKADA	98.0
Makwanpur-KHAIRANG	51.0
Makwanpur-KOGATE	25.0
Makwanpur-KULEKHANI	60.0
Makwanpur-MAKWANPUR GADHI	201.0
Makwanpur-MANAHARI	190.0
Makwanpur-MANTHALI	50.0
Makwanpur-MARKHU	42.0
Makwanpur-NAMTAR	138.0
Makwanpur-NIBUWATAR	55.0
Makwanpur-PADAM POKHARI	279.0
Makwanpur-PALUNG	92.0
Makwanpur-RAIGAUN	152.0
Makwanpur-RAKSIRANG	80.0
Makwanpur-SARIKHET PALASE	121.0
Makwanpur-SHIKHARPUR	85.0
Makwanpur-SHREEPUR CHHATIWAN	336.0
Makwanpur-SISNERI MAHADEVSTHAN	66.0
Makwanpur-SUKAURA	61.0
Makwanpur-THINGAN	59.0
Makwanpur-TISTUNG DEURALI	104.0
Manang-BHRAKA	157.0
Manang-CHAME	209.0
Manang-DHARAPANI	112.0
Manang-FU	34.0
Manang-GHYARU	45.0
Manang-KHANGSAR	63.0
Manang-MANANG	128.0
Manang-NAR	46.0
Manang-NYAWAL	60.0
Manang-PISANG	104.0
Manang-TACHIBAGARCHHAP	66.0
Manang-TANKIMANANG	128.0
Manang-THOCHE	77.0
Morang-AMAHIBARIYATI	116.0
Morang-AMARDAHA	226.0
Morang-AMGACHHI	101.0
Morang-BABIYABIRTA	268.0
Morang-BAHUNI	215.0
Morang-BAIJANATHPUR	101.0
Morang-BANIGAMA	144.0
Morang-BARADANGA	189.0
Morang-BAYARBAN	363.0
Morang-BELBARI	357.0
Morang-BHAUDAHA	118.0
Morang-BHOGATENI	72.0
Morang-BIRATNAGAR SUB METROPOLITAN CITY	1,687.0
Morang-BUDHANAGAR	161.0
Morang-DADARBAIRIYA	139.0
Morang-DAINIYA	133.0
Morang-DANGIHAT	313.0
Morang-DANGRAHA	49.0
Morang-DRABESH	276.0
Morang-DULARI	178.0
Morang-GOVINDAPUR	263.0
Morang-HARAICHA	141.0
Morang-HASANDAHA	172.0
Morang-HATHIMUDHA	130.0
Morang-HOKLABARI	80.0
Morang-INDRAPUR	272.0
Morang-ITAHARA	232.0
Morang-JANTE	126.0
Morang-JHORAHAT	95.0
Morang-JHURKIYA	141.0
Morang-KASENI	149.0
Morang-KATAHARI	340.0
Morang-KATHAMAHA	101.0
Morang-KERABARI	261.0
Morang-KEROUN	217.0
Morang-LAKHANTARI	71.0
Morang-LETANG	283.0
Morang-MADHUMALLA	299.0
Morang-MAHADEWA	72.0
Morang-MAJHARE	99.0
Morang-MATIGACHHA	191.0
Morang-MOTIPUR	90.0
Morang-MRIGAULIYA	252.0
Morang-NECHA	67.0
Morang-PATHARI	384.0
Morang-PATIGAUN	35.0
Morang-POKHARIYA	50.0
Morang-RAJGHAT	189.0
Morang-RAMITEKHOLA	51.0
Morang-RANGELI	197.0
Morang-SANISCHARE	430.0
Morang-SIDHARAHA	87.0
Morang-SIJUWA	174.0
Morang-SINHADEVISOMBARE	36.0
Morang-SISABANIBADAHARA	112.0
Morang-SISAWANIJAHADA	85.0
Morang-SORABHAG	153.0
Morang-SUNDARPUR	195.0
Morang-TAKUWA	147.0
Morang-TANDI	153.0
Morang-TANKISINUWARI	307.0
Morang-TETARIYA	116.0
Morang-THALAHA	120.0
Morang-URLABARI	468.0
Morang-WARANGI	47.0
Morang-YANGSHILA	99.0
Mugu-BHIYEE	171.0
Mugu-DHAINAKOT	255.0
Mugu-DOLPHU	103.0
Mugu-JIMA	328.0
Mugu-KARKIBADA	379.0
Mugu-KIMARI	110.0
Mugu-MANGRI	221.0
Mugu-MUGU	102.0
Mugu-NATHARPU	172.0
Mugu-PHOTU	87.0
Mugu-PINA	397.0
Mugu-PULU	160.0
Mugu-RARA (GILAS)	201.0
Mugu-RARAKALAI	168.0
Mugu-ROWA	466.0
Mugu-RUGA	432.0
Mugu-SHREENAGAR	522.0
Mugu-SUKHADHIK	90.0
Mustang-CHARANG	86.0
Mustang-CHHONHUP	170.0
Mustang-CHHOSER	128.0
Mustang-CHHUSANG	160.0
Mustang-DHAMI	138.0
Mustang-JHONG	62.0
Mustang-JOMSOM	335.0
Mustang-KAGBENI	195.0
Mustang-KOWANG	129.0
Mustang-KUNJO	115.0
Mustang-LETE	187.0
Mustang-LOMANTHANG	153.0
Mustang-MARPHA	224.0
Mustang-MUKTINATH	146.0
Mustang-SURKHANG	95.0
Mustang-TUKUCHE	129.0
Myagdi-ARMAN	78.0
Myagdi-ARTHUNGE	162.0
Myagdi-BABIYACHAUR	59.0
Myagdi-BAGARKHOLA	42.0
Myagdi-BARANJA	111.0
Myagdi-BHAKILMI	72.0
Myagdi-BIMA	39.0
Myagdi-CHIMKHOLA	40.0
Myagdi-DAGNAM	31.0
Myagdi-DANA	45.0
Myagdi-DARWANG	77.0
Myagdi-DEVISTHAN	67.0
Myagdi-DHATAN	106.0
Myagdi-DOWA	31.0
Myagdi-GURJAKHANI	9.0
Myagdi-HISTHANMANDALI	66.0
Myagdi-JHIN	35.0
Myagdi-JYAMRUKOT	66.0
Myagdi-KUHUN	95.0
Myagdi-KUINEMANGALE	24.0
Myagdi-LULANG	28.0
Myagdi-MALKWANG	29.0
Myagdi-MARANG	44.0
Myagdi-MUDI	46.0
Myagdi-MUNA	47.0
Myagdi-NARCHYANG	48.0
Myagdi-NISKOT	40.0
Myagdi-OKHARBOT	33.0
Myagdi-PAKHAPANI	50.0
Myagdi-PATLEKHET	35.0
Myagdi-PULACHAUR	84.0
Myagdi-RAKHUBHAGAWATI	68.0
Myagdi-RAKHUPIPLE	80.0
Myagdi-RAMCHE	49.0
Myagdi-RATNECHAUR	47.0
Myagdi-ROOM	99.0
Myagdi-SHIKHA	108.0
Myagdi-SINGA	65.0
Myagdi-TAKAM	77.0
Myagdi-TATOPANI (BHURUNG)	25.0
Nawalparasi-AGRYOULI	130.0
Nawalparasi-AMARAPURI	126.0
Nawalparasi-AMRAUT	63.0
Nawalparasi-BADAHARADUBAULIYA	65.0
Nawalparasi-BAIDAULI	65.0
Nawalparasi-BANJARIYA	91.0
Nawalparasi-BENIMANIPUR	147.0
Nawalparasi-BHARATIPUR	42.0
Nawalparasi-BHUJHAWA	74.0
Nawalparasi-BULINGTAR	42.0
Nawalparasi-DADAJHERITADI	31.0
Nawalparasi-DAWANNEDEVI	205.0
Nawalparasi-DEDGAUN	69.0
Nawalparasi-DEURALI	170.0
Nawalparasi-DEVACHULI	84.0
Nawalparasi-DEVAGAWA	53.0
Nawalparasi-DHAUBADI	85.0
Nawalparasi-DHURKOT	59.0
Nawalparasi-DIBYAPURI	98.0
Nawalparasi-DUMKIBAS	119.0
Nawalparasi-GAIDAKOT	194.0
Nawalparasi-GAIRAMI	68.0
Nawalparasi-GUTHI PARSAUNI	91.0
Nawalparasi-GUTHI SURYAPURA	66.0
Nawalparasi-HAKUI	80.0
Nawalparasi-HARPUR	80.0
Nawalparasi-HUPSEKOT	40.0
Nawalparasi-JAHADA	111.0
Nawalparasi-JAMUNIYA	136.0
Nawalparasi-JAUBARI	41.0
Nawalparasi-KAWASWOTI	154.0
Nawalparasi-KOLHUWA	139.0
Nawalparasi-KOTATHAR	35.0
Nawalparasi-KUDIYA	146.0
Nawalparasi-KUMARWARTI	99.0
Nawalparasi-KUSMA	84.0
Nawalparasi-MAINAGHAT	68.0
Nawalparasi-MAKAR	112.0
Nawalparasi-MANARI	82.0
Nawalparasi-MITHUKARAM	34.0
Nawalparasi-MUKUNDAPUR	175.0
Nawalparasi-NARAM	43.0
Nawalparasi-NARAYANI	76.0
Nawalparasi-NARSAHI	71.0
Nawalparasi-NAYABELHANI	77.0
Nawalparasi-PAKALIHAWA	103.0
Nawalparasi-PALHI	69.0
Nawalparasi-PANCHANAGAR	157.0
Nawalparasi-PARSAUNI	91.0
Nawalparasi-PITHAULI	123.0
Nawalparasi-PRAGATINAGAR	198.0
Nawalparasi-PRATAPPUR	93.0
Nawalparasi-RAJAHAR	158.0
Nawalparasi-RAKACHULI	44.0
Nawalparasi-RAKUWA	40.0
Nawalparasi-RAMGRAM MUNICIPALITY	2,447.0
Nawalparasi-RAMNAGAR	180.0
Nawalparasi-RAMPUR KHADAUNA	40.0
Nawalparasi-RAMPURKHA	55.0
Nawalparasi-RATANAPUR	41.0
Nawalparasi-RUCHANG	50.0
Nawalparasi-RUPAULIYA	113.0
Nawalparasi-SANAI	70.0
Nawalparasi-SARAWAL	85.0
Nawalparasi-SHIVMANDIR	200.0
Nawalparasi-SOMANI	61.0
Nawalparasi-SUKRAULI	60.0
Nawalparasi-SUNWAL	259.0
Nawalparasi-SWATHI	147.0
Nawalparasi-TAMASARIYA	165.0
Nawalparasi-THULO KHAIRATAWA	54.0
Nawalparasi-TILAKPUR	106.0
Nawalparasi-TRIBENISUSTA	150.0
Nawalparasi-UPALLOARKHALE	42.0
Nuwakot-BAGESWORI CHOKADE	81.0
Nuwakot-BALKUMARI	46.0
Nuwakot-BARSUNCHET	4.0
Nuwakot-BELKOT	92.0
Nuwakot-BETENI	64.0
Nuwakot-BHADRATAR	68.0
Nuwakot-BHALCHE	57.0
Nuwakot-BIDUR MUNICIPALITY	1,698.0
Nuwakot-BUDHASING	54.0
Nuwakot-BUNGTANG	52.0
Nuwakot-CHARGHARE	82.0
Nuwakot-CHATURALE	59.0
Nuwakot-CHAUGHADA	83.0
Nuwakot-CHAUTHE	49.0
Nuwakot-CHHAP	42.0
Nuwakot-DANGSING	51.0
Nuwakot-DEURALI	86.0
Nuwakot-DUIPIPAL	98.0
Nuwakot-FIKURI	48.0
Nuwakot-GANESHTHAN	68.0
Nuwakot-GAUNKHARKA	46.0
Nuwakot-GERKHU	100.0
Nuwakot-GHYANGPHEDI	42.0
Nuwakot-GORSYANG	69.0
Nuwakot-JILING	97.0
Nuwakot-KABILAS	61.0
Nuwakot-KAKANI	107.0
Nuwakot-KALIKAHALDE	55.0
Nuwakot-KALYANPUR	98.0
Nuwakot-KAULE	53.0
